scaleSize MaxNbNodesPoss MaxNbNodes
2 44 8.38861e+06
12 1.06601e+06 8.38861e+06
22 1.26204e+06 8.38861e+06
32 2.03267e+06 8.38861e+06
42 2.09891e+06 8.38861e+06
52 2.09985e+06 8.38861e+06
62 2.10099e+06 8.38861e+06
72 2.10233e+06 8.38861e+06
82 2.10387e+06 8.38861e+06
92 2.10561e+06 8.38861e+06
102 2.10755e+06 8.38861e+06
112 2.10969e+06 8.38861e+06
122 2.11203e+06 8.38861e+06
132 2.11457e+06 8.38861e+06
142 2.11731e+06 8.38861e+06
152 2.12025e+06 8.38861e+06
162 2.12339e+06 8.38861e+06
172 2.12673e+06 8.38861e+06
182 2.13027e+06 8.38861e+06
192 2.13401e+06 8.38861e+06
202 2.13795e+06 8.38861e+06
212 2.14209e+06 8.38861e+06
222 2.14643e+06 8.38861e+06
232 2.15097e+06 8.38861e+06
242 2.15571e+06 8.38861e+06
252 2.16065e+06 8.38861e+06
262 2.16579e+06 8.38861e+06
272 2.17113e+06 8.38861e+06
282 2.17667e+06 8.38861e+06
292 2.18241e+06 8.38861e+06
