scaleSize MaxNbNodesPoss MaxNbNodes
2 46 1.67772e+07
12 2.11459e+06 1.67772e+07
22 2.31062e+06 1.67772e+07
32 3.08125e+06 1.67772e+07
42 4.19607e+06 1.67772e+07
52 4.19701e+06 1.67772e+07
62 4.19815e+06 1.67772e+07
72 4.19949e+06 1.67772e+07
82 4.20103e+06 1.67772e+07
92 4.20277e+06 1.67772e+07
102 4.20471e+06 1.67772e+07
112 4.20685e+06 1.67772e+07
122 4.20919e+06 1.67772e+07
132 4.21173e+06 1.67772e+07
142 4.21447e+06 1.67772e+07
152 4.21741e+06 1.67772e+07
162 4.22055e+06 1.67772e+07
172 4.22389e+06 1.67772e+07
182 4.22743e+06 1.67772e+07
192 4.23117e+06 1.67772e+07
202 4.23511e+06 1.67772e+07
212 4.23925e+06 1.67772e+07
222 4.24359e+06 1.67772e+07
232 4.24813e+06 1.67772e+07
242 4.25287e+06 1.67772e+07
252 4.25781e+06 1.67772e+07
262 4.26295e+06 1.67772e+07
272 4.26829e+06 1.67772e+07
282 4.27383e+06 1.67772e+07
292 4.27957e+06 1.67772e+07
