scaleSize MaxNbNodesPoss MaxNbNodes
2 64 8.58993e+09
12 8.35884e+08 8.58993e+09
22 1.07396e+09 8.58993e+09
32 1.07473e+09 8.58993e+09
42 1.07671e+09 8.58993e+09
52 1.08077e+09 8.58993e+09
62 1.08805e+09 8.58993e+09
72 1.09987e+09 8.58993e+09
82 1.11786e+09 8.58993e+09
92 1.14383e+09 8.58993e+09
102 1.17987e+09 8.58993e+09
112 1.2283e+09 8.58993e+09
122 1.29166e+09 8.58993e+09
132 1.37276e+09 8.58993e+09
142 1.47462e+09 8.58993e+09
152 1.60054e+09 8.58993e+09
162 1.75401e+09 8.58993e+09
172 1.93881e+09 8.58993e+09
182 2.14752e+09 8.58993e+09
192 2.14752e+09 8.58993e+09
202 2.14752e+09 8.58993e+09
212 2.14753e+09 8.58993e+09
222 2.14753e+09 8.58993e+09
232 2.14754e+09 8.58993e+09
242 2.14754e+09 8.58993e+09
252 2.14755e+09 8.58993e+09
262 2.14755e+09 8.58993e+09
272 2.14756e+09 8.58993e+09
282 2.14756e+09 8.58993e+09
292 2.14757e+09 8.58993e+09
