scaleSize MaxNbNodesPoss MaxNbNodes
2 60 2.14748e+09
12 2.68453e+08 2.14748e+09
22 2.68649e+08 2.14748e+09
32 2.6942e+08 2.14748e+09
42 2.71401e+08 2.14748e+09
52 2.75469e+08 2.14748e+09
62 2.82739e+08 2.14748e+09
72 2.94568e+08 2.14748e+09
82 3.12552e+08 2.14748e+09
92 3.38526e+08 2.14748e+09
102 3.74567e+08 2.14748e+09
112 4.2299e+08 2.14748e+09
122 4.86352e+08 2.14748e+09
132 5.36888e+08 2.14748e+09
142 5.36891e+08 2.14748e+09
152 5.36894e+08 2.14748e+09
162 5.36897e+08 2.14748e+09
172 5.369e+08 2.14748e+09
182 5.36904e+08 2.14748e+09
192 5.36908e+08 2.14748e+09
202 5.36912e+08 2.14748e+09
212 5.36916e+08 2.14748e+09
222 5.3692e+08 2.14748e+09
232 5.36925e+08 2.14748e+09
242 5.36929e+08 2.14748e+09
252 5.36934e+08 2.14748e+09
262 5.3694e+08 2.14748e+09
272 5.36945e+08 2.14748e+09
282 5.3695e+08 2.14748e+09
292 5.36956e+08 2.14748e+09
