scaleSize MaxNbNodesPoss MaxNbNodes
2 32 131071
12 32910 131071
22 33250 131071
32 33790 131071
42 34530 131071
52 35470 131071
62 36610 131071
72 37950 131071
82 39490 131071
92 41230 131071
102 43170 131071
112 45310 131071
122 47650 131071
132 50190 131071
142 52930 131071
152 55870 131071
162 59010 131071
172 62350 131071
182 65716 131071
192 65726 131071
202 65736 131071
212 65746 131071
222 65756 131071
232 65766 131071
242 65776 131071
252 65786 131071
262 65796 131071
272 65806 131071
282 65816 131071
292 65826 131071
