scaleSize MaxNbNodesPoss MaxNbNodes
2 72 1.37439e+11
12 8.88895e+09 1.37439e+11
22 1.71801e+10 1.37439e+11
32 1.71809e+10 1.37439e+11
42 1.71828e+10 1.37439e+11
52 1.71869e+10 1.37439e+11
62 1.71942e+10 1.37439e+11
72 1.7206e+10 1.37439e+11
82 1.7224e+10 1.37439e+11
92 1.725e+10 1.37439e+11
102 1.7286e+10 1.37439e+11
112 1.73344e+10 1.37439e+11
122 1.73978e+10 1.37439e+11
132 1.74789e+10 1.37439e+11
142 1.75807e+10 1.37439e+11
152 1.77067e+10 1.37439e+11
162 1.78601e+10 1.37439e+11
172 1.80449e+10 1.37439e+11
182 1.8265e+10 1.37439e+11
192 1.85247e+10 1.37439e+11
202 1.88284e+10 1.37439e+11
212 1.91808e+10 1.37439e+11
222 1.95869e+10 1.37439e+11
232 2.0052e+10 1.37439e+11
242 2.05813e+10 1.37439e+11
252 2.11807e+10 1.37439e+11
262 2.1856e+10 1.37439e+11
272 2.26133e+10 1.37439e+11
282 2.34592e+10 1.37439e+11
292 2.44001e+10 1.37439e+11
