scaleSize MaxNbNodesPoss MaxNbNodes
2 30 65535
12 16526 65535
22 16866 65535
32 17406 65535
42 18146 65535
52 19086 65535
62 20226 65535
72 21566 65535
82 23106 65535
92 24846 65535
102 26786 65535
112 28926 65535
122 31266 65535
132 32898 65535
142 32908 65535
152 32918 65535
162 32928 65535
172 32938 65535
182 32948 65535
192 32958 65535
202 32968 65535
212 32978 65535
222 32988 65535
232 32998 65535
242 33008 65535
252 33018 65535
262 33028 65535
272 33038 65535
282 33048 65535
292 33058 65535
