scaleSize MaxNbNodesPoss MaxNbNodes
2 34 262143
12 50202 262143
22 66018 262143
32 66558 262143
42 67298 262143
52 68238 262143
62 69378 262143
72 70718 262143
82 72258 262143
92 73998 262143
102 75938 262143
112 78078 262143
122 80418 262143
132 82958 262143
142 85698 262143
152 88638 262143
162 91778 262143
172 95118 262143
182 98658 262143
192 102398 262143
202 106338 262143
212 110478 262143
222 114818 262143
232 119358 262143
242 124098 262143
252 129038 262143
262 131332 262143
272 131342 262143
282 131352 262143
292 131362 262143
