scaleSize MaxNbNodesPoss MaxNbNodes
2 62 4.29497e+09
12 5.36888e+08 4.29497e+09
22 5.37084e+08 4.29497e+09
32 5.37855e+08 4.29497e+09
42 5.39836e+08 4.29497e+09
52 5.43904e+08 4.29497e+09
62 5.51174e+08 4.29497e+09
72 5.63004e+08 4.29497e+09
82 5.80987e+08 4.29497e+09
92 6.06961e+08 4.29497e+09
102 6.43002e+08 4.29497e+09
112 6.91426e+08 4.29497e+09
122 7.54788e+08 4.29497e+09
132 8.35884e+08 4.29497e+09
142 9.37752e+08 4.29497e+09
152 1.06367e+09 4.29497e+09
162 1.07377e+09 4.29497e+09
172 1.07377e+09 4.29497e+09
182 1.07377e+09 4.29497e+09
192 1.07378e+09 4.29497e+09
202 1.07378e+09 4.29497e+09
212 1.07379e+09 4.29497e+09
222 1.07379e+09 4.29497e+09
232 1.0738e+09 4.29497e+09
242 1.0738e+09 4.29497e+09
252 1.07381e+09 4.29497e+09
262 1.07381e+09 4.29497e+09
272 1.07382e+09 4.29497e+09
282 1.07382e+09 4.29497e+09
292 1.07383e+09 4.29497e+09
