scaleSize MaxNbNodesPoss MaxNbNodes
2 80 2.19902e+12
12 1.37738e+11 2.19902e+12
22 1.828e+11 2.19902e+12
32 2.74879e+11 2.19902e+12
42 2.74881e+11 2.19902e+12
52 2.74885e+11 2.19902e+12
62 2.74892e+11 2.19902e+12
72 2.74904e+11 2.19902e+12
82 2.74922e+11 2.19902e+12
92 2.74948e+11 2.19902e+12
102 2.74984e+11 2.19902e+12
112 2.75032e+11 2.19902e+12
122 2.75096e+11 2.19902e+12
132 2.75177e+11 2.19902e+12
142 2.75279e+11 2.19902e+12
152 2.75405e+11 2.19902e+12
162 2.75558e+11 2.19902e+12
172 2.75743e+11 2.19902e+12
182 2.75963e+11 2.19902e+12
192 2.76223e+11 2.19902e+12
202 2.76526e+11 2.19902e+12
212 2.76879e+11 2.19902e+12
222 2.77285e+11 2.19902e+12
232 2.7775e+11 2.19902e+12
242 2.78279e+11 2.19902e+12
252 2.78879e+11 2.19902e+12
262 2.79554e+11 2.19902e+12
272 2.80311e+11 2.19902e+12
282 2.81157e+11 2.19902e+12
292 2.82098e+11 2.19902e+12
