scaleSize MaxNbNodesPoss MaxNbNodes
2 50 6.71089e+07
12 8.40604e+06 6.71089e+07
22 8.60207e+06 6.71089e+07
32 9.3727e+06 6.71089e+07
42 1.13539e+07 6.71089e+07
52 1.54218e+07 6.71089e+07
62 1.67811e+07 6.71089e+07
72 1.67824e+07 6.71089e+07
82 1.67839e+07 6.71089e+07
92 1.67857e+07 6.71089e+07
102 1.67876e+07 6.71089e+07
112 1.67898e+07 6.71089e+07
122 1.67921e+07 6.71089e+07
132 1.67946e+07 6.71089e+07
142 1.67974e+07 6.71089e+07
152 1.68003e+07 6.71089e+07
162 1.68035e+07 6.71089e+07
172 1.68068e+07 6.71089e+07
182 1.68103e+07 6.71089e+07
192 1.68141e+07 6.71089e+07
202 1.6818e+07 6.71089e+07
212 1.68222e+07 6.71089e+07
222 1.68265e+07 6.71089e+07
232 1.6831e+07 6.71089e+07
242 1.68358e+07 6.71089e+07
252 1.68407e+07 6.71089e+07
262 1.68459e+07 6.71089e+07
272 1.68512e+07 6.71089e+07
282 1.68567e+07 6.71089e+07
292 1.68625e+07 6.71089e+07
