scaleSize MaxNbNodesPoss MaxNbNodes
2 66 1.71799e+10
12 1.37276e+09 1.71799e+10
22 2.1477e+09 1.71799e+10
32 2.14847e+09 1.71799e+10
42 2.15045e+09 1.71799e+10
52 2.15452e+09 1.71799e+10
62 2.16179e+09 1.71799e+10
72 2.17362e+09 1.71799e+10
82 2.1916e+09 1.71799e+10
92 2.21757e+09 1.71799e+10
102 2.25361e+09 1.71799e+10
112 2.30204e+09 1.71799e+10
122 2.3654e+09 1.71799e+10
132 2.4465e+09 1.71799e+10
142 2.54836e+09 1.71799e+10
152 2.67428e+09 1.71799e+10
162 2.82775e+09 1.71799e+10
172 3.01255e+09 1.71799e+10
182 3.23266e+09 1.71799e+10
192 3.49232e+09 1.71799e+10
202 3.79601e+09 1.71799e+10
212 4.14844e+09 1.71799e+10
222 4.29502e+09 1.71799e+10
232 4.29502e+09 1.71799e+10
242 4.29503e+09 1.71799e+10
252 4.29503e+09 1.71799e+10
262 4.29504e+09 1.71799e+10
272 4.29504e+09 1.71799e+10
282 4.29505e+09 1.71799e+10
292 4.29505e+09 1.71799e+10
