scaleSize MaxNbNodesPoss MaxNbNodes
2 74 2.74878e+11
12 1.74789e+10 2.74878e+11
22 3.436e+10 2.74878e+11
32 3.43607e+10 2.74878e+11
42 3.43627e+10 2.74878e+11
52 3.43668e+10 2.74878e+11
62 3.4374e+10 2.74878e+11
72 3.43859e+10 2.74878e+11
82 3.44039e+10 2.74878e+11
92 3.44298e+10 2.74878e+11
102 3.44659e+10 2.74878e+11
112 3.45143e+10 2.74878e+11
122 3.45777e+10 2.74878e+11
132 3.46588e+10 2.74878e+11
142 3.47606e+10 2.74878e+11
152 3.48865e+10 2.74878e+11
162 3.504e+10 2.74878e+11
172 3.52248e+10 2.74878e+11
182 3.54449e+10 2.74878e+11
192 3.57046e+10 2.74878e+11
202 3.60083e+10 2.74878e+11
212 3.63607e+10 2.74878e+11
222 3.67668e+10 2.74878e+11
232 3.72318e+10 2.74878e+11
242 3.77612e+10 2.74878e+11
252 3.83606e+10 2.74878e+11
262 3.90358e+10 2.74878e+11
272 3.97932e+10 2.74878e+11
282 4.0639e+10 2.74878e+11
292 4.158e+10 2.74878e+11
