scaleSize MaxNbNodesPoss MaxNbNodes
2 52 1.34218e+08
12 1.67946e+07 1.34218e+08
22 1.69907e+07 1.34218e+08
32 1.77613e+07 1.34218e+08
42 1.97425e+07 1.34218e+08
52 2.38104e+07 1.34218e+08
62 3.10808e+07 1.34218e+08
72 3.35596e+07 1.34218e+08
82 3.35612e+07 1.34218e+08
92 3.35629e+07 1.34218e+08
102 3.35648e+07 1.34218e+08
112 3.3567e+07 1.34218e+08
122 3.35693e+07 1.34218e+08
132 3.35719e+07 1.34218e+08
142 3.35746e+07 1.34218e+08
152 3.35775e+07 1.34218e+08
162 3.35807e+07 1.34218e+08
172 3.3584e+07 1.34218e+08
182 3.35876e+07 1.34218e+08
192 3.35913e+07 1.34218e+08
202 3.35952e+07 1.34218e+08
212 3.35994e+07 1.34218e+08
222 3.36037e+07 1.34218e+08
232 3.36083e+07 1.34218e+08
242 3.3613e+07 1.34218e+08
252 3.36179e+07 1.34218e+08
262 3.36231e+07 1.34218e+08
272 3.36284e+07 1.34218e+08
282 3.3634e+07 1.34218e+08
292 3.36397e+07 1.34218e+08
