scaleSize MaxNbNodesPoss MaxNbNodes
2 38 1.04858e+06
12 148506 1.04858e+06
22 262626 1.04858e+06
32 263166 1.04858e+06
42 263906 1.04858e+06
52 264846 1.04858e+06
62 265986 1.04858e+06
72 267326 1.04858e+06
82 268866 1.04858e+06
92 270606 1.04858e+06
102 272546 1.04858e+06
112 274686 1.04858e+06
122 277026 1.04858e+06
132 279566 1.04858e+06
142 282306 1.04858e+06
152 285246 1.04858e+06
162 288386 1.04858e+06
172 291726 1.04858e+06
182 295266 1.04858e+06
192 299006 1.04858e+06
202 302946 1.04858e+06
212 307086 1.04858e+06
222 311426 1.04858e+06
232 315966 1.04858e+06
242 320706 1.04858e+06
252 325646 1.04858e+06
262 330786 1.04858e+06
272 336126 1.04858e+06
282 341666 1.04858e+06
292 347406 1.04858e+06
