scaleSize MaxNbNodesPoss MaxNbNodes
2 36 524287
12 82970 524287
22 131554 524287
32 132094 524287
42 132834 524287
52 133774 524287
62 134914 524287
72 136254 524287
82 137794 524287
92 139534 524287
102 141474 524287
112 143614 524287
122 145954 524287
132 148494 524287
142 151234 524287
152 154174 524287
162 157314 524287
172 160654 524287
182 164194 524287
192 167934 524287
202 171874 524287
212 176014 524287
222 180354 524287
232 184894 524287
242 189634 524287
252 194574 524287
262 199714 524287
272 205054 524287
282 210594 524287
292 216334 524287
