scaleSize MaxNbNodesPoss MaxNbNodes
2 40 2.09715e+06
12 279578 2.09715e+06
22 475608 2.09715e+06
32 525310 2.09715e+06
42 526050 2.09715e+06
52 526990 2.09715e+06
62 528130 2.09715e+06
72 529470 2.09715e+06
82 531010 2.09715e+06
92 532750 2.09715e+06
102 534690 2.09715e+06
112 536830 2.09715e+06
122 539170 2.09715e+06
132 541710 2.09715e+06
142 544450 2.09715e+06
152 547390 2.09715e+06
162 550530 2.09715e+06
172 553870 2.09715e+06
182 557410 2.09715e+06
192 561150 2.09715e+06
202 565090 2.09715e+06
212 569230 2.09715e+06
222 573570 2.09715e+06
232 578110 2.09715e+06
242 582850 2.09715e+06
252 587790 2.09715e+06
262 592930 2.09715e+06
272 598270 2.09715e+06
282 603810 2.09715e+06
292 609550 2.09715e+06
