scaleSize MaxNbNodesPoss MaxNbNodes
2 54 2.68435e+08
12 3.35719e+07 2.68435e+08
22 3.37679e+07 2.68435e+08
32 3.45385e+07 2.68435e+08
42 3.65198e+07 2.68435e+08
52 4.05876e+07 2.68435e+08
62 4.7858e+07 2.68435e+08
72 5.9687e+07 2.68435e+08
82 6.71156e+07 2.68435e+08
92 6.71173e+07 2.68435e+08
102 6.71193e+07 2.68435e+08
112 6.71214e+07 2.68435e+08
122 6.71237e+07 2.68435e+08
132 6.71263e+07 2.68435e+08
142 6.7129e+07 2.68435e+08
152 6.7132e+07 2.68435e+08
162 6.71351e+07 2.68435e+08
172 6.71384e+07 2.68435e+08
182 6.7142e+07 2.68435e+08
192 6.71457e+07 2.68435e+08
202 6.71497e+07 2.68435e+08
212 6.71538e+07 2.68435e+08
222 6.71581e+07 2.68435e+08
232 6.71627e+07 2.68435e+08
242 6.71674e+07 2.68435e+08
252 6.71724e+07 2.68435e+08
262 6.71775e+07 2.68435e+08
272 6.71828e+07 2.68435e+08
282 6.71884e+07 2.68435e+08
292 6.71941e+07 2.68435e+08
