scaleSize MaxNbNodesPoss MaxNbNodes
2 42 4.1943e+06
12 541722 4.1943e+06
22 737752 4.1943e+06
32 1.0496e+06 4.1943e+06
42 1.05034e+06 4.1943e+06
52 1.05128e+06 4.1943e+06
62 1.05242e+06 4.1943e+06
72 1.05376e+06 4.1943e+06
82 1.0553e+06 4.1943e+06
92 1.05704e+06 4.1943e+06
102 1.05898e+06 4.1943e+06
112 1.06112e+06 4.1943e+06
122 1.06346e+06 4.1943e+06
132 1.066e+06 4.1943e+06
142 1.06874e+06 4.1943e+06
152 1.07168e+06 4.1943e+06
162 1.07482e+06 4.1943e+06
172 1.07816e+06 4.1943e+06
182 1.0817e+06 4.1943e+06
192 1.08544e+06 4.1943e+06
202 1.08938e+06 4.1943e+06
212 1.09352e+06 4.1943e+06
222 1.09786e+06 4.1943e+06
232 1.1024e+06 4.1943e+06
242 1.10714e+06 4.1943e+06
252 1.11208e+06 4.1943e+06
262 1.11722e+06 4.1943e+06
272 1.12256e+06 4.1943e+06
282 1.1281e+06 4.1943e+06
292 1.13384e+06 4.1943e+06
