scaleSize MaxNbNodesPoss MaxNbNodes
2 68 3.43597e+10
12 2.4465e+09 3.43597e+10
22 4.29518e+09 3.43597e+10
32 4.29595e+09 3.43597e+10
42 4.29793e+09 3.43597e+10
52 4.302e+09 3.43597e+10
62 4.30927e+09 3.43597e+10
72 4.3211e+09 3.43597e+10
82 4.33908e+09 3.43597e+10
92 4.36506e+09 3.43597e+10
102 4.4011e+09 3.43597e+10
112 4.44952e+09 3.43597e+10
122 4.51288e+09 3.43597e+10
132 4.59398e+09 3.43597e+10
142 4.69585e+09 3.43597e+10
152 4.82176e+09 3.43597e+10
162 4.97524e+09 3.43597e+10
172 5.16003e+09 3.43597e+10
182 5.38014e+09 3.43597e+10
192 5.6398e+09 3.43597e+10
202 5.94349e+09 3.43597e+10
212 6.29592e+09 3.43597e+10
222 6.70205e+09 3.43597e+10
232 7.16707e+09 3.43597e+10
242 7.69642e+09 3.43597e+10
252 8.29578e+09 3.43597e+10
262 8.59e+09 3.43597e+10
272 8.59001e+09 3.43597e+10
282 8.59001e+09 3.43597e+10
292 8.59002e+09 3.43597e+10
