scaleSize MaxNbNodesPoss MaxNbNodes
2 70 6.87195e+10
12 4.59398e+09 6.87195e+10
22 8.59015e+09 6.87195e+10
32 8.59092e+09 6.87195e+10
42 8.5929e+09 6.87195e+10
52 8.59697e+09 6.87195e+10
62 8.60424e+09 6.87195e+10
72 8.61607e+09 6.87195e+10
82 8.63405e+09 6.87195e+10
92 8.66003e+09 6.87195e+10
102 8.69607e+09 6.87195e+10
112 8.74449e+09 6.87195e+10
122 8.80785e+09 6.87195e+10
132 8.88895e+09 6.87195e+10
142 8.99082e+09 6.87195e+10
152 9.11673e+09 6.87195e+10
162 9.27021e+09 6.87195e+10
172 9.455e+09 6.87195e+10
182 9.67511e+09 6.87195e+10
192 9.93477e+09 6.87195e+10
202 1.02385e+10 6.87195e+10
212 1.05909e+10 6.87195e+10
222 1.0997e+10 6.87195e+10
232 1.1462e+10 6.87195e+10
242 1.19914e+10 6.87195e+10
252 1.25908e+10 6.87195e+10
262 1.3266e+10 6.87195e+10
272 1.40234e+10 6.87195e+10
282 1.48692e+10 6.87195e+10
292 1.58102e+10 6.87195e+10
