scaleSize MaxNbNodesPoss MaxNbNodes
2 48 3.35544e+07
12 4.21174e+06 3.35544e+07
22 4.40777e+06 3.35544e+07
32 5.1784e+06 3.35544e+07
42 7.15963e+06 3.35544e+07
52 8.39131e+06 3.35544e+07
62 8.39245e+06 3.35544e+07
72 8.39379e+06 3.35544e+07
82 8.39533e+06 3.35544e+07
92 8.39707e+06 3.35544e+07
102 8.39901e+06 3.35544e+07
112 8.40115e+06 3.35544e+07
122 8.40349e+06 3.35544e+07
132 8.40603e+06 3.35544e+07
142 8.40877e+06 3.35544e+07
152 8.41171e+06 3.35544e+07
162 8.41485e+06 3.35544e+07
172 8.41819e+06 3.35544e+07
182 8.42173e+06 3.35544e+07
192 8.42547e+06 3.35544e+07
202 8.42941e+06 3.35544e+07
212 8.43355e+06 3.35544e+07
222 8.43789e+06 3.35544e+07
232 8.44243e+06 3.35544e+07
242 8.44717e+06 3.35544e+07
252 8.45211e+06 3.35544e+07
262 8.45725e+06 3.35544e+07
272 8.46259e+06 3.35544e+07
282 8.46813e+06 3.35544e+07
292 8.47387e+06 3.35544e+07
