scaleSize MaxNbNodesPoss MaxNbNodes
2 56 5.36871e+08
12 6.71263e+07 5.36871e+08
22 6.73223e+07 5.36871e+08
32 6.8093e+07 5.36871e+08
42 7.00742e+07 5.36871e+08
52 7.4142e+07 5.36871e+08
62 8.14124e+07 5.36871e+08
72 9.32415e+07 5.36871e+08
82 1.11225e+08 5.36871e+08
92 1.34226e+08 5.36871e+08
102 1.34228e+08 5.36871e+08
112 1.3423e+08 5.36871e+08
122 1.34233e+08 5.36871e+08
132 1.34235e+08 5.36871e+08
142 1.34238e+08 5.36871e+08
152 1.34241e+08 5.36871e+08
162 1.34244e+08 5.36871e+08
172 1.34247e+08 5.36871e+08
182 1.34251e+08 5.36871e+08
192 1.34255e+08 5.36871e+08
202 1.34259e+08 5.36871e+08
212 1.34263e+08 5.36871e+08
222 1.34267e+08 5.36871e+08
232 1.34272e+08 5.36871e+08
242 1.34276e+08 5.36871e+08
252 1.34281e+08 5.36871e+08
262 1.34286e+08 5.36871e+08
272 1.34292e+08 5.36871e+08
282 1.34297e+08 5.36871e+08
292 1.34303e+08 5.36871e+08
