scaleSize MaxNbNodesPoss MaxNbNodes
2 76 5.49756e+11
12 3.46588e+10 5.49756e+11
22 6.87197e+10 5.49756e+11
32 6.87205e+10 5.49756e+11
42 6.87224e+10 5.49756e+11
52 6.87265e+10 5.49756e+11
62 6.87338e+10 5.49756e+11
72 6.87456e+10 5.49756e+11
82 6.87636e+10 5.49756e+11
92 6.87896e+10 5.49756e+11
102 6.88256e+10 5.49756e+11
112 6.8874e+10 5.49756e+11
122 6.89374e+10 5.49756e+11
132 6.90185e+10 5.49756e+11
142 6.91204e+10 5.49756e+11
152 6.92463e+10 5.49756e+11
162 6.93997e+10 5.49756e+11
172 6.95845e+10 5.49756e+11
182 6.98047e+10 5.49756e+11
192 7.00643e+10 5.49756e+11
202 7.0368e+10 5.49756e+11
212 7.07204e+10 5.49756e+11
222 7.11266e+10 5.49756e+11
232 7.15916e+10 5.49756e+11
242 7.21209e+10 5.49756e+11
252 7.27203e+10 5.49756e+11
262 7.33956e+10 5.49756e+11
272 7.41529e+10 5.49756e+11
282 7.49988e+10 5.49756e+11
292 7.59397e+10 5.49756e+11
