scaleSize MaxNbNodesPoss MaxNbNodes
2 78 1.09951e+12
12 6.90185e+10 1.09951e+12
22 1.14081e+11 1.09951e+12
32 1.3744e+11 1.09951e+12
42 1.37442e+11 1.09951e+12
52 1.37446e+11 1.09951e+12
62 1.37453e+11 1.09951e+12
72 1.37465e+11 1.09951e+12
82 1.37483e+11 1.09951e+12
92 1.37509e+11 1.09951e+12
102 1.37545e+11 1.09951e+12
112 1.37594e+11 1.09951e+12
122 1.37657e+11 1.09951e+12
132 1.37738e+11 1.09951e+12
142 1.3784e+11 1.09951e+12
152 1.37966e+11 1.09951e+12
162 1.38119e+11 1.09951e+12
172 1.38304e+11 1.09951e+12
182 1.38524e+11 1.09951e+12
192 1.38784e+11 1.09951e+12
202 1.39087e+11 1.09951e+12
212 1.3944e+11 1.09951e+12
222 1.39846e+11 1.09951e+12
232 1.40311e+11 1.09951e+12
242 1.4084e+11 1.09951e+12
252 1.4144e+11 1.09951e+12
262 1.42115e+11 1.09951e+12
272 1.42872e+11 1.09951e+12
282 1.43718e+11 1.09951e+12
292 1.44659e+11 1.09951e+12
